;Schlüssel- und Namensverzeichnis der lebensweltlich orientierten Räume;;;;;;;;;;
Bezirk;;;"Prognoseräume
Ebene 3";;;"Bezirksregionen
Ebene 2";;;"Planungsraum
Ebene 1";;
Schlüssel;;Name;Schlüssel;;Name;Schlüssel;;Name;Schlüssel;;Name
;;;;;;;;;;;
;07;Tempelhof - Schöneberg;;01;"Schöneberg-
Nord";;01;"Schöneberg-
Nord";;01;Wittenbergplatz/                Viktoria-Luise-Platz
;;;;;;;;;;02;Nollendorfplatz
;;;;;;;;;;03;Barbarossaplatz
;;;;;;;;;;04;Dennewitzplatz
;;;;02;"Schöneberg-
Süd";;02;"Schöneberg-
Süd";;01;Bayerischer Platz
;;;;;;;;;;02;Volkspark                          (Rudolf-Wilde-Park)
;;;;;;;;;;03;Kaiser-Wilhelm-Platz
;;;;;;;;;;04;Schöneberger Insel
;;;;03;Friedenau;;03;Friedenau;;01;Friedenau
;;;;;;;;;;02;Ceciliengärten
;;;;;;;;;;03;Grazer Platz
;;;;04;Tempelhof;;04;Tempelhof;;01;Neu-Tempelhof
;;;;;;;;;;02;Lindenhofsiedlung
;;;;;;;;;;03;Manteuffelstr.
;;;;;;;;;;04;Marienhöhe
;;;;;;;;;;05;Rathaus Tempelhof
;;;;;;;;;;06;Germaniagarten
;;;;05;Mariendorf;;05;Mariendorf;;01;Rathausstr.
;;;;;;;;;;02;Fritz-Werner-Str.
;;;;;;;;;;03;Eisenacher Str.
;;;;;;;;;;04;Imbrosweg
;;;;;;;;;;05;Hundsteinweg
;;;;;;;;;;06;Birnhornweg
;;;;06;Marienfelde;;06;Marienfelde;;01;Marienfelder Allee Nordwest
;;;;;;;;;;02;Kirchstr.
;;;;;;;;;;03;Marienfelde Nordost
;;;;;;;;;;04;Marienfelde Süd
;;;;07;Lichtenrade;;07;Lichtenrade;;01;Kettinger Str./Schillerstr.
;;;;;;;;;;02;Alt-Lichtenrade/                 Töpchiner Weg
;;;;;;;;;;03;John-Locke-Str.
;;;;;;;;;;04;Nahariyastr.
;;;;;;;;;;05;Franziusweg/ Rohrbachstr.
;;;;;;;;;;06;Horstwalder Str./               Paplitzer Str. 
;;;;;;;;;;07;Wittelsbacherstr.
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
