;Schlüssel- und Namensverzeichnis der lebensweltlich orientierten Räume;;;;;;;;;;
Bezirk;;;"Prognoseräume
Ebene 3";;;"Bezirksregionen
Ebene 2";;;"Planungsraum
Ebene 1";;
Schlüssel;;Name;Schlüssel;;Name;Schlüssel;;Name;Schlüssel;;Name
;;;;;;;;;;;
;11;Lichtenberg;;01;Hohenschönhausen Nord;;01;Malchow, Wartenberg und Falkenberg;;01;Dorf Malchow
;;;;; ;;;;;02;Dorf Wartenberg
;;;;;;;;;;03;Dorf Falkenberg
;;;;; ;;02;Neu-Hohenschönhausen Nord;;04;Falkenberg Ost
;;;;;;;;;;05;Falkenberg West
;;;;;;;;;;06;Wartenberg Süd
;;;;;;;;;;07;Wartenberg Nord
;;;;;;;03;Neu-Hohenschönhausen Süd;;08;Zingster Straße Ost
;;;;;;;;;;09;Zingster Straße West
;;;;;;;;;;10;Mühlengrund
;;;;02;Hohenschönhausen Süd ;;04;Alt-Hohenschönhausen Nord;;11;Malchower Weg
;;;;;;;;;;12;Hauptstraße
;;;;; ;;05;Alt-Hohenschönhausen Süd;;13;Orankesee
;;;;;;;;;;14;Große-Leege-Straße
;;;;;;;;;;15;Landsberger Allee
;;;;;;;;;;16;Weiße Taube
;;;;03;Lichtenberg Nord;;06;Fennpfuhl;;17;Hohenschönhausener Straße
;;;;;;;;;;18;Fennpfuhl West
;;;;;;;;;;19;Fennpfuhl Ost
;;;;; ;;07;Alt-Lichtenberg;;20;Herzbergstraße
;;;;;;;;;;21;Rüdigerstraße
;;;;;;;08;Frankfurter Allee Süd;;24;Frankfurter Allee Süd
;;;;04;Lichtenberg Mitte;;09;Neu Lichtenberg;;25;Victoriastadt
;;;;;;;;;;26;Weitlingstraße
;;;;;;;10;Friedrichsfelde Nord;;22;Rosenfelder Ring
;;;;;;;;;;23;Gensinger Straße
;;;;;;;;;;27;Tierpark
;;;;;;;11;Friedrichsfelde Süd;;28;Sewanstraße
;;;;05;Lichtenberg Süd;;12;Rummelsburger Bucht;;29;Rummelsburg
;;;;;;;13;Karlshorst;;30;Karlshorst West
;;;;;;;;;;31;Karlshorst Nord
;;;;;;;;;;32;Karlshorst Süd
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
