;Schlüssel- und Namensverzeichnis der lebensweltlich orientierten Räume;;;;;;;;;;
Bezirk;;;"Prognoseräume
Ebene 3";;;"Bezirksregionen
Ebene 2";;;"Planungsraum
Ebene 1";;
Schlüssel;;Name;Schlüssel;;Name;Schlüssel;;Name;Schlüssel;;Name
;;;;;;;;;;;
;09;Treptow - Köpenick;;01;Treptow- Köpenick 1;;01;Alt  Treptow;;01;Elsenstr.
;;;;;;;;;;02;Am Treptower Park Nord
;;;;;;;02;Plänterwald;;01;Am Treptower Park Süd
;;;;;;;;;;02;Köpenicker Landstraße
;;;;;;;03;Baumschulenweg;;01;Baumschulenstraße
;;;;;;;;;;02;Späthsfelde
;;;;;;;04;Johannisthal;;01;Johannisthal West
;;;;;;;;;;02;Johannisthal Ost
;;;;02;Treptow- Köpenick 2;;05;Oberschöneweide;;01;Oberschöneweide West
;;;;;;;;;;02;Oberschöneweide Ost
;;;;;;;06;Niederschöneweide;;01;Schnellerstr
;;;;;;;;;;02;Oberspree
;;;;;;;07;Adlershof;;01;Adlershof West
;;;;;;;;;;02;Adlershof Ost
;;;;;;;08;Kölln. Vorstadt/                  Spindlersf.;;01;Spindlersfeld
;;;;;;;;;;02;Kölln. Vorstadt                
;;;;03;Treptow-Köpenick 3;;09;Altglienicke;;01;Dorf Altglienicke
;;;;;;;;;;02;Wohngebiet II
;;;;;;;;;;03;Kölner Viertel
;;;;;;;10;Bohnsdorf;;01;Bohnsdorf
;;;;;;;11;Grünau;;01;Grünau
;;;;;;;12;Schmöckwitz/Karolinenhof/Rauchfangswerder;;01;Karolinenhof
;;;;;;;;;;02;Schmöckwitz/                      Rauchfangswerder
;;;;04;Treptow-Köpenick  4;;13;Köpenick-Süd;;01;Kietzer Feld / Nachtheide
;;;;;;;;;;02;Wendenschloß
;;;;;;;14;Allende-Viertel;;01;Allende I
;;;;;;;;;;02;Allende II
;;;;;;;15;Altstadt-Kietz;;01;Altstadt-Kietz
;;;;;;;16;Müggelheim;;01;Müggelheim
;;;;05;Treptow-Köpenick 5;;17;Friedrichshagen;;01;Hirschgarten
;;;;;;;;;;02;Bölschestraße
;;;;;;;18;Rahnsdorf/Hessenwinkel;;01;Rahnsdorf/Hessenwinkel
;;;;;;;19;Dammvorstadt;;01;Dammvorstadt
;;;;;;;20;Köpenick-Nord;;01;Köpenick-Nord
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
