;Schlüssel- und Namensverzeichnis der lebensweltlich orientierten Räume;;;;;;;;;;
Bezirk;;;"Prognoseräume
Ebene 3";;;"Bezirksregionen
Ebene 2";;;"Planungsraum
Ebene 1";;
Schlüssel;;Name;Schlüssel;;Name;Schlüssel;;Name;Schlüssel;;Name
;;;;;;;;;;;
;06;Steglitz - Zehlendorf;;01;Region A;;01;Schloßstr.;;01;Fichtenberg
;;;;;;;;;;02;Schloßstr.
;;;;;;;;;;03;Markelstr.
;;;;;;;02;Albrechtstr.;;04;Munsterdamm
;;;;;;;;;;05;Südende
;;;;;;;;;;06;Stadtpark
;;;;;;;;;;07;Mittelstr.
;;;;;;;;;;08;Bergstr.
;;;;;;;;;;09;Feuerbachstr.
;;;;;;;;;;10;Bismarckstr.
;;;;02;Region B;;03;Lankwitz;;01;Alt-Lankwitz
;;;;;;;;;;02;Komponistenviertel Lankwitz
;;;;;;;;;;03;Lankwitz-Kirche
;;;;;;;;;;04;Kaiser-Wilhelm-Str.
;;;;;;;;;;05;Gemeindepark Lankwitz
;;;;;;;;;;06;Lankwitz-Süd
;;;;;;;04;Ostpreußendamm;;07;Thermometersiedlung
;;;;;;;;;;08;Lichterfelde-Süd
;;;;;;;;;;09;Königsberger Str.
;;;;;;;;;;10;Oberhofer Platz
;;;;;;;;;;11;Schütte-Lanz-Str.
;;;;03;Region C;;05;Teltower Damm;;01;Berlepschstr.
;;;;;;;;;;02;Zehlendorf-Süd
;;;;;;;;;;03;Zehlendorf-Mitte
;;;;;;;;;;04;Teltower Damm
;;;;;;;06;Drakestr.;;05;Botanischer Garten
;;;;;;;;;;06;Hindenburgdamm
;;;;;;;;;;07;Goerzwerke
;;;;;;;;;;08;Schweizer Viertel
;;;;;;;;;;09;Augustaplatz
;;;;;;;;;;10;Lichterfelde-West
;;;;04;Region D;;07;Zehlendorf  Südwest;;01;Wannsee
;;;;;;;;;;02;Düppel
;;;;;;;;;;03;Nikolassee
;;;;;;;08;Zehlendorf  Nord;;04;Krumme Lanke
;;;;;;;;;;05;Fischerhüttenstr.
;;;;;;;;;;06;Fischtal
;;;;;;;;;;07;Zehlendorf-Eiche
;;;;;;;;;;08;Hüttenweg
;;;;;;;;;;09;Thielallee
;;;;;;;;;;10;Dahlem
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
