;Schlüssel- und Namensverzeichnis der lebensweltlich orientierten Räume;;;;;;;;;;
Bezirk;;;"Prognoseräume
Ebene 3";;;"Bezirksregionen
Ebene 2";;;"Planungsraum
Ebene 1";;
Schlüssel;;Name;Schlüssel;;Name;Schlüssel;;Name;Schlüssel;;Name
;;;;;;;;;;;
;05;Spandau;;01;SPA 1;;01;Hakenfelde;;01;Hakenfelde Nord
;;;;;;;;;;02;Goltzstraße
;;;;;;;;;;03;Amorbacher Weg
;;;;;;;02;Falkenhagener Feld;;04;Griesingerstr.
;;;;;;;;;;05;An der Tränke
;;;;;;;;;;06;Gütersloher Weg
;;;;;;;;;;07;Darbystr.
;;;;;;;;;;08;Germersheimer Platz
;;;;;;;;;;09;An der Kappe
;;;;;;;03;Spandau Mitte;;10;Eckschanze
;;;;;;;;;;11;Eiswerder
;;;;;;;;;;12;Kurstr.
;;;;;;;;;;13;Ackerstr.
;;;;;;;;;;14;Carl-Schurz-Str.
;;;;;;;;;;39;Freiheit
;;;;02;SPA 2;;04;Brunsbütteler Damm;;15;Isenburger Weg
;;;;;;;;;;16;Am Heideberg
;;;;;;;;;;17;Staakener Str.
;;;;;;;;;;18;Spandauer Str.
;;;;;;;;;;19;Magistratsweg
;;;;;;;;;;20;Werkstr.
;;;;;;;05;Heerstraße Nord;;21;Döberitzer Weg
;;;;;;;;;;22;Pillnitzer Weg
;;;;;;;;;;23;Maulbeerallee
;;;;;;;;;;24;Weinmeisterhornweg
;;;;;;;06;Wilhelmstadt;;25;Borkumer Str.
;;;;;;;;;;26;Adamstr.
;;;;;;;;;;27;Tiefwerder
;;;;;;;;;;28;Graetschelsteig
;;;;;;;;;;29;Börnicker Str.
;;;;03;SPA 3;;07;Haselhorst;;30;Zitadellenweg
;;;;;;;;;;31;Gartenfelder Str.
;;;;;;;08;Siemensstadt;;32;Rohrdamm
;;;;;;;;;;33;Motardstr.
;;;;04;SPA 4;;09;Gatow / Kladow;;34;Alt-Gatow
;;;;;;;;;;35;Groß-Glienicker Weg
;;;;;;;;;;36;Jägerallee
;;;;;;;;;;37;Kladower Damm
;;;;;;;;;;38;Kafkastr.
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
